0,1
"Exactly after one year 1 week the ear piece ddnt work. when i went to the store they asked me 35k for replacement. useless phones. for the premium price tag of 55-60K the phones dont even work for 1 year. I had 5s, 6 Plus and this 7. All had same type of problems and the phone went into trouble exactly after warranty.Useless.These big companies take india and indians for a ride.I would never buy any apple products for sure.",iPhone 7
"Battery life of my device is minimal. Drains so fast. In 4 days of usage, battery health reduced to 98%. I am using iPhone for last 4-5 years. But this product delivered was astonishing. Value for money not provided by Amazon for iPhone 7.",iPhone 7
"Coming from oneplus 3, this phone has been a great upgrade. Always wanted to know why the iOS is so popular. Well it is because it never disappoints. I am writing this review one year after purchasing it and it works like a charm. Still. I don’t feel the need to upgrade to some other device (iphone 8, x or xs) because it works flawlessly without any lag or delay whatsoever. The camera is great.The only problem is the battery life which isn’t enough for a complete day.",iPhone 7
Over all phone is very good except it’s  battery. If you are a full time internet user don’t buy this phone. Battery life maximum 8 hours if you using full time internet.,iPhone 7
battery life is bad... also now ios system files take up 15 gb so approx 15gb left for files storage... becomes very less... apple should give users 32 gb useable space as they are charging us for it.,iPhone 7
"Poor product, I want to replace this product , Battery back up is not at all good, decreasing every 2-3min, I recently had iphone 6s and it wasn't the same. On stand by it decresed 20% last night",iPhone 7
I have been using it since the last 2 days and have noticed some heating issues .. We have 2 other iPhone 7’s but none of them heat up like this one .. Usually heats up when I’m on an application or charging . Will definitely return the product .Really disappointed,iPhone 7
"Apple iPhone 7 smartphone was launched in September 2016. The phone comes with a 4.70-inch touchscreen display with a resolution of 750x1334 pixels at a pixel density of 326 pixels per inch (ppi) and an aspect ratio of 16:9.Apple iPhone 7 is powered by a 2.34GHz quad-core Apple A10 Fusion processor. It comes with 2GB of RAM.The Apple iPhone 7 runs iOS 10 and is powered by a 1960mAh non-removable battery.As far as the cameras are concerned, the Apple iPhone 7 on the rear packs a 12-megapixel camera with an f/1.8 aperture. The rear camera setup has phase detection autofocus. It sports a 7-megapixel camera on the front for selfies, with an f/2.2 aperture.Apple iPhone 7 based on iOS 10 and packs 32GB of inbuilt storage. The Apple iPhone 7 is a single SIM (GSM) smartphone that accepts a Nano-SIM card.Connectivity options on the Apple iPhone 7 include Wi-Fi 802.11 a/b/g/n/ac, GPS, Bluetooth v4.20, NFC, Lightning, 3G, and 4G (with support for Band 40 used by some LTE networks in India). Sensors on the phone include accelerometer, ambient light sensor, barometer, compass/ magnetometer, gyroscope, proximity sensor, and fingerprint sensor.The Apple iPhone 7 measures 138.30 x 67.10 x 7.10mm (height x width x thickness) and weighs 138.00 grams. It was launched in Black, Gold, Jet Black, Matte Black, Red, Rose Gold, and Silver colours.",iPhone 7
"This is my first ever iPhone. To be honest, it was really tougher for me initially to understand things on an iPhone when you're used with Android phones for several years. The first problem I faced is when I want all my contacts from Android phones to to my iPhone. Fortunately some app in the app store helped me copying the contacts from my Google account to iPhone. However I was not able to get the WhatsApp backup from Android to iPhone. Reading some tutorials made me understand that it is better to lose the chats to spend hours on the procedure.No launcher like Android (Probably iPhone users are used with it).• The fingerprint sensor is not as fast and responsive as my Google Pixel 2 XL.• The camera clarity is good. I would not say it is better or best, just good.• Water resistant phone is a relief point.• Call clarity and earphones clarity are good.• Only earphones with lightning interface can be connected, forget your traditional 3.5mm earphones. No adapters are given with the phone, may be you can get one from the market, I believe.• Battery back, charging time are good.• A big relief point is many Google apps such as Google Photos, Google Play Music are available for iPhone, therefore no pain of synchronizing music and photos.Apple fans may argue the price is because it's Apple's phone, okay, but many Android phones with higher specifications are available for this or even lesser price range. If you come from Android platform to iPhone, this might be little disappointing, gives you pain and make you feel cluttered.",iPhone 7
iPhone 7Display-8/10Battery-9/10Camera- 9/10Sound- 10/10Performance-9/10,iPhone 7
"Fingerprints working is good ,battery backup is bad and camera quality good.....",iPhone 7
I ordered the 32 GB iPhone 7 via Amazon. The phone arrived on time and well packed. The phone was absolutely new and the manufacturing date was as recent asOctober 2018 itself.  The phone is definitely an excellent upgrade over the iPhone 6 and 6s. It comes pre loaded with iOS 12.0.1 and is extremely fast and zippy. The built of the phone is superb and it feels extremely premium. The camera is amazing and the sound quality is loud with a clear output. Overall an excellent phone.,iPhone 7
"Being an Apple customer enjoying IPOD & MAC...This time i took a decision to buy my 1st Apple Phone..But i am totally disappointed with a Poor battery Performance!!!Eventhough it is  not competing with my three years old samsung phone.After 1st week Audio volume for phone calls are pretty low which was not at all audible unless in speakerphone or ear phone.Feeling lot of heat while in calls. Battery draining like rocket. In Hotspot sharing the battery level is draining too fast. I have tried factory reset, software update, Background apps pause, power save mode, mobile data off...but there is no improvement in the battery performance.Finally on the 10th day decided to return back the product to amazon. Unfortunately  options are not allowed/ and the radio buttons not allowed me to place the request.tried to reach customer care but failed to reach them.As a lost resort tired to reach apple customer care. Indian(Bangalore Numbers there is no response).Another time call connected to Australian  call center (Per minute Rs.30 charge.)before reaching executive the call was disconnected with huge BIll.Finally I placed a call back request to apple customer care.an executive called from Singapore Center and convinced me with a message ""in this COVID 19 days we may not support you at service centers@Chennai"".. He guided me to send some analytics (reports) forward to him and to my surprise he confirmed there is no issue in the phone.!!!!!!He sent few basic FAQs on Iphone 7 Battery optimization which is not all all useful for my issue.Now the sad part is i am carrying my phone with charger mostly 4 to 5 charges per day for very minimal calls/Whatsup usage.The worst part is... even though in standby mode also the battery was draining fast.Finally i need to check in Airplane Mode before pack into my box.I strongly believe Iphone 7 had some bugs with battery management.",iPhone 7
"I like how durable this phone is, when I dropped for the first time it was too tall drop and a minor dent was only damage done to my phone.Coming to battery life it will easily fulfil your day.The camera on this phone still better than OnePlus 6T and other smartphoneIm writing this review after a year and half and saw this price I only suggest you just go for it feel the QUALITY!!!",iPhone 7
"Got this product on time, but the harrasment start after that. Product is overheating, calling sound is too bad even unable to hear any words while on call. camera sucks. seems old prosuct in a new packaging.Tried to call amazon support they just pathetic, they forced me to contact with Apple support but Apple support is also sucks. They just avoiding the issue and do not give me support.",iPhone 7
I’m giving one star due to its poor performance in data connectivity. The internet connectivity is very bad. My iPhone 5s was far far better as compared to iPhone 7 performance in terms of connectivity. It has been 36 days since I bought this phone and I already feeling like throwing this phone n go for some android phone. I had a good conversation with the apple support n he also could not figure out the issue n asked me to go to a apple store n get it checked.,iPhone 7
"Your browser does not support HTML5 video.


   Packet was totally damaged & ph is in dead condition, also there is no seal on the box , attached video for your reference",iPhone 7
Battery issue. Lasts only 8 hrs. Apple and Amazon website declares 13 hrs of LTE usage. But Apple service centre rejected it and said 8 hrs is the normal life of an iPhone. You have to charge 3 times in a day.Irritating.Amazon have no return policy for the device complaint. You have to approach Apple care only.,iPhone 7
Obviously this product from descendants of Mr Steve Jobs is pure value for money. I would always recommend to go for this unless you are planning to go for an Android device. And yess !! Be ready to spend some more on other connectivity accessories and its truly said “With great power comes great responsibility”,iPhone 7
"Your browser does not support HTML5 video.


   I placed order on 21st November, 2020 from Appario Retail Pvt Ltd. Received it today(24th Nov). The box was in good condition, with no signs of damage. The month of manufacture was November 2019 and the product is genuine (confirmed serial number). But it wasn't powering on. On connecting charger, Apple logo comes on screen and again goes off. I contacted Amazon support via chat. I was told that as per Apple policy, I have to contact Apple support. Apple advisor asked me to try charging for a few hours. As it didn't work, I took it to Apple authorized service center. They suspected defective hardware and sent the device for inspection._______________________________________________________________________________________Update: The device I got was defective and I got it replaced by Apple Service Provider",iPhone 7
"From the time I bought the iPhone 7, it shut off, then went dead. Dud a soft restart & a hard reset. Still does not work. Amazon will not accept it back. DO NOT BUY FROM AMAZON. They cheat you.",iPhone 7
"Writing this review after 2 + years of purchase. Typing from the same phone..hehe...It's an amazing phone. Which was delivered tome by Amazon really quick and well packed.The phone has not given me any problems.I was an android users and couldn't keep a phone for more than 6-8 months without it showing signs of failure. They used to hang... Become slow...heat up....etc....But this beauty is as solid as a rock...I have dropped it.... Got stamped by shoes...on the road..(had a tempered glass protector which was shattered) but nothing happened to the phone....Lovely battery capacity.Overall, even today, with all the other iPhones releasing one after the other....this is a phone worth buying if you have budget restraints...Don't hesitate.",iPhone 7
"iPhone 7 is excellentUsing iPhones since 2014 so no difficulty in handling the device.Fingerprint is fast and it improves as when the updates are released.Camera quality is very good compared to old devices in my caseBattery life depends on the usage, no of apps downloaded, how many times u do full charge etc.I will recommend to go for iPhone as u get timely updates which is a must for the better working of the device.There are some cons but if u are not concerned about it then go for it without thinking twice.Apple gives premium devices and Amazon gives best services. So I am satisfied with my purchase.",iPhone 7
Packing I received was only the mobile case with no other protection to the box. It was seen that while handling box had got some punctures on the corner due to no bubble bag or any other box. 5- Star for the phone and 1- Star for the amazon service,iPhone 7
"This is a good phone, great experience but I received a defective piece. Apple service center didn't help either.",iPhone 7
The phone I ordered didn’t power up at all.. very bad quality and really pathetic service from Amazon... they would not issue me a replacement and now have to go to apple stores (in this COVID situation - no option of doing virtually) to get Amazon a “service denial letter” before they give any sort of support to me.. please consider carefully before you purchase iPhones from Amazon.. they actually asked me to read up the policy (fine print) and that they cannot help me at all of the piece is defective.. better to go to a local retailer for such any high end purchase,iPhone 7
"The moment I received the product I matched the IMEI and serial code on Apple’s website and it was genuine. I updated it to iOS 14.1 and I faced some battery issues for couple days as battery was draining really fast but it normalised with time.Performance is very smooth and I have faced no problems, switching between apps is smooth as cream, screen is beautiful and 7 works really fine in 2020 too.My use is pretty casual, no gaming, only few social media sites and blog reading, news reading, and it gives me 7-9 hours backup on one full charge easy. It may differ if you are a heavy user, some have reported as less as 3 hour backup, so consider this if you are a gamer or heavy user. In the screenshot, you can see that I had charged iPhone to 99% at 9:45 am, and I was almost on screen surfing through YouTube and it gave me almost 5 and a half hour of backup until battery level dropped at 19%.Satisfied purchase, thank you Amazon.",iPhone 7
"I've been an iphone user since a while and my iphone 5s needed to be upgraded and I was waiting for a good deal. Though I would have liked a better discount I decided to make the best use of Amazon's Prime Sale!The phone has been with about 2 days and its quite early to be able to really comment, however I have faith in Apple. The phone gets quite warm on prolonged use and if this continues I might have to ask for a replacement. Are you there Amazon?",iPhone 7
"Received Phone is dead. Asked for return. They are asking me to reach out to Apple care. Still no luck. After multiple attempts, product got replaced. Now it’s working fine. Thanks to amazon.",iPhone 7
"I got faulty phone . It’s not working . While Iam trying to apply for replacement , It’s asking me to call up call center . I called up & waiting in queue to talk for last 45 min .Is it apple service ? Why can’t you have India consumer care .@ Amazon , This cat be acceptable . Product need to be replaced .",iPhone 7
Sent me faulty and used(Open box) item. have to press home button multiple times to start screen. now unable to return it.,iPhone 7
"I was a fan of apple before my iphone 7, this one and the one I bought few months before this hanged and died. There is a standard reply to pay price of a new phone and get it changed.Problems include power issues, charging issues, restarting, battery die, etc. I would rater buy anything but never apple",iPhone 7
"I will jot down some features for this phone:Pros:1. Very sturdy military grade aluminium body.2. Good battery backup.3. Water resistant.4. Awesome performance, no lags at all.5. What more could one ask for.Cons:1. 3.5 mm audio jack cannot be used and the headphones come with lightning connectors. So you cannot charge and listen to music at the same time. This is actually not a con but some may feel so, trust me as I have been using it for quite some time now, I do not have any grudges.2. That's all folks.Verdict:Best budget iphone that is water resistant and very sturdy.",iPhone 7
"Facing issue with calling and receiving the call, really disappointed from apple. Should not buy from Amazon. I think product is faulty. Worst experience till now.",iPhone 7
Just after 20 days problem starts. Issue with wifi connectivity & internet speed. Till now from last 15days struggling with Apple with all possible diagnostic no result. Seller Pls replace the product. Amazon pls get it replace.,iPhone 7
I bought the product during the great Indian festival sale in October. I really doubt the product is original. Not even been a year the battery life is non existent and camera just refuses to open sometimes. Please do not fall into the trap and invest so much with this seller to just save a few thousand bucks.,iPhone 7
"Received product on 31st January 2020. Battery problem, battery draining very fastly... since last 2 weeks it’s with apple authorised service centre @cochin... Everyday they are saying it will clear with 2-3 days... really disappointed",iPhone 7
"1. I received a model that was manufactured in Nov 2019 (1-year old) and was completely discharged, which means that this product was lying unused for more than a year2. The phone has issues with touch and is not responsive a lot of times. This is obvious with any electronic item that remains unused for such a long time3. Amazon is refusing to accept return or provide any form of support on the issue and I am expected to make rounds of Apple service center and spend hours chatting to support teams on a brand new phone that I have paid full price for4. As per Amazon's policy which is mentioned under a hidden tab Amazon will not return/replace this unless you receive a wrong product. So, in essence once you purchase you are on your own5. The entire point of purchasing online is the assurance that the product will be replaced in an unlikely scenario. If that assurance is taken away then buying online makes no sense considering you don't even get to physically see the product before purchasing6. My request to all the readers is to not purchase this product from Amazon and Appario as the policies are not clearly mentioned on the product page and there is no support provided in a genuine case7. After this experience, my trust in Amazon has gotten seriously impacted. I request other buyers to be doubly sure before placing trust on Amazon on expensive products",iPhone 7
"Life of this phone  less than 3 yrs,  Is any small parts got  faulted,  service center asked to replace complete display which cost around 15k,  is it worth to buy,  believe this is completely disappointed now,  was iPhone user from 2015 .IPhone being a company need to work on service center abs their manpower n provide them training to reduce cost of  service.",iPhone 7
This was a total waste of money. The gadget cannot hold any power and it is utter disappointing after spending so much money. Unfortunately the return window is closed and due to Covid lockdown I could not return it within the specified period,iPhone 7
It was getting warm in 30 mins of usage. There was an issue with the microphone too. I could hear some disturbance while on call. It was never clear audio. . Camera quality was poor. But Amazon accepted my return without enquiring much detail.5 Star for amazon1 star for the product.,iPhone 7
"Only 2-3 hours of battery life after full charging, please don’t buy this phone",iPhone 7
"I was so excited after reciving iphone. But i didn't feel anything better in iphone than android now after 3 years storage sucks literally. It has problem with volume. you can't even hear other person's voice untill unless you are on speaker. Same problem with friends phone too he bought with me same phone.  Everytime i have to put myself on speaker for even private talks. Storage is the biggest issue. If you have downloded something it automatically uninstall all the apps. When in need you have to wait for app install. I feels like m in the grandfathers era. One of the biggest disadvantage, It doesn't support any earphone, you have to buy original apple earphone. It is just a waste of money and time. you can't even talk to people while charging is on cuase of their so called one jack :(I will never buy iphone and won't even recommend anyone to buy because it is not worth the money. This made my life almost hell.",iPhone 7
Can’t hear the voice over the phone calls. Can’t believe Apple can produce such sick device that it won’t work with the basic need  to be fulfilled through a phone. I need this device to be thoroughly checked. Either Apple or Amazon is at fault.You guys wasted my 2 days time. It sucks. Who will bear the loss of time wastage for phone n data transfer etc? Refund immediately. Get it picked. Facing problem in transferring my whole data in previous device now.,iPhone 7
"This is my first iPhone.  So it took some time to get used to it.  But it is a different experience.Pros: Speed, Performance, iOS 13.2, Camera, Sound, Ear phone and DisplayCons: Battery (Even for moderate use, battery lasts hardly 10 to 12 hour) Very disappointing.",iPhone 7
"Overal good but what I got the ear phones , charger and data cable not brand of apple it was another one it was the bad experience with Amazon",iPhone 7
Nice product..however earpiece volume is little bit concern So some time I repent why I wasted 40k for just phone..also the abolition of 3.5mm jack also annoying (u will have to plug in plug out Digital to Analog converter if you missed ur original earphone which last up to just 6 or 8 months (wire cutting problem from jack ) also it tangles so much and u need 4-5 minutes to solve the puzzle before listening music.Good product specially camera is ultimate far far better than others 10 MP/20 MP.,iPhone 7
Sorry to say the product I received was not up to the mark that too from amazon who I trusted several years The phone I got is defective Everyone who calls me say neither audible or echo sound This is 1st time am posting a negative remark Deep regrets,iPhone 7
"Exchanged my HTC One A9 for this.  Both felt the same in my hand, which is a good thing. I definitely didn't want any of the ugly oversized phones that are so popular now. This phone is Sturdy. I dropped it a few times when traveling..once, right on its glass face from a height of ~3 feet. It fell down on one of those rough, jagged granite steps we see everywhere in India. Barely a scratch. In the last one year, my iPhone 7 has picked up a few tiny spots on the back where the paint has come off, but nothing that would take away from its great looks. This thing has survived a fair bit of abuse, without a phone case. Will hold on to this one a while longer because the newer X series phones are bulky and I read that they get scratched easily. Everything else is as expected on an iPhone - it all just works really well. If I had to nitpick, I'd say the fingerprint reader isn't the best in the market. If you are considering buying this, I highly recommend it.",iPhone 7
After receiving my item I checked battery health and it was 97 percent. In new phone it was impossible. I was sure that the item was an used one. Tried to replace the item several times but the link was not working for replace. Then I contacted with Amazon by telling that the product is not as per description of Amazon. Hence want to replace it. After 18 days when I am able to contact with customer care I am informed it is my own fault. Thanks both Amazon and Apple for selling a used item to me in the name of brand new item.,iPhone 7
Using it for more than one month no problems at all iOS 11 is still has some bugs others than that phone works perfectlyBattery life is very good giving around 5.30 screen on time with mobile data is turned on all the timeGo for it if you want a good all round phoneBut the lack of headphone jack can be over come by a good wireless headset,iPhone 7
"Your browser does not support HTML5 video.


   Only downside of this phone is battery. Otherwise I loved this beast. Worth buying",iPhone 7
"I bought this product from amazon india and tried starting it after 2 days of delivery. As soon as I started after seting it up, I found that the product keeps on switching on and off. The display keeps flickering. I can hear it ringing but cant see anything on the display. I don’t thi k this would have been a good place to purchase such high end, costly products. I would suggest you to prefer stores rather than going for online with amazon or this seller. I have been trying to reach them and couldn’t get any response.",iPhone 7
I got this phone 10 days before just to have a premium quality phone for the long run but the Heating issue are very high on this phone (a lot more if compared from 6s) Build quality is Good but the Charged stopped working in 2 days itself.Overall Not worth of 30k.Apple support is also not satisfactory and will suggest to Go for some Android options if the max you wanna spend is 25k-30k.Overall All not at all satisfied with the phone expected a decent phone but multiple issues are making it below average.,iPhone 7
I buy this phone but it is overheating .when i want to return this item they didn't accepted. The behaviour of amazon panipat hub maanager is also not good . I recommend to buy the product from flipkart .,iPhone 7
The headphone 3.5 MM jack connector is missing that means the product was already open before ..,iPhone 7
"Battery is getting discharged at a very fast pace. Have been directed to approach Apple iStore for the resolution. Not happy with the revert from Apple as well. they have heard the issue patiently but did not get any resolution, they just say to update to the latest version and performance will be good.",iPhone 7
"I have an entire cavalry of Apple products at my place - macbook air, pro, iMac, iPad - and none of the above mentioned products have disappointed me, even when the usage is on a higher end.  I stay in the US and since I couldn't personally send an iPhone to my dad I used Amazon (dot) in's service and it has been a very disappointing experience. The phone heats up even when no third party application has been installed. Without no usage the battery drains out of power and I am pretty confident that this phone has been unboxed before. But keeping the allegations aside, PLEASE DON'T BUY FROM AMAZON rather buy from an APPLE STORE instead. It might be a little costly or your city might not have an apple store at the first place but it will save you the disappointment of putting so much amount of money into something and not reaping the benefits.Also, I would like to mention that for my family I also bought an iPad with the same purchase, which is working in a great shape and there is no functional defects but 50% of your purchase turns out to be faulty is a big RED flag.",iPhone 7
"At high volume, during call voice from the speaker is very low, it is not audible. It seems iphone is faulty.",iPhone 7
"After buying this phone, I was reported by my family that battery starts dying soon after charging. I didn't believe it as I have two other iPhones (5s) and never faced any issue.  We are very frustrated with this, Made in China phone that simply we want to stop using it. Many of the less known products are being reported to be far better than this one.I gave all one stars for other bundled products I bought with this one as I simply feel that Amazon is selling bad products on its website without any quality feed or checks. I am going to talk to Amazon to return this phone and feed more comments after that.",iPhone 7
"Most useless product sold by Appario retail on Amazon platform. Opened the box. No power. Charged the battery, phone heated. After 2 hours, phone is dead. It is not powering on.. Amazon is neither returning nor replacing the product but asking to contact Apple repair service. Please do not buy iphone 7 from Amazon s as they are selling defective products",iPhone 7
The phone have issues with battery. It drains very quickly. Please be informed the replacement is process is very complicated. Amazon customer care will not help you properly. 7 day replacement is a trap. I tried to replace on the very 1st day of delivery. Please do not buy.,iPhone 7
"Seems to overheat quite quickly and also my old samsung 5 picked up the phone signal so much better.  I used to be able to tether the wifi to my phone from home and now i can't.  Which is a real disappointment.  I mainly brought it because i have ipad and airmac and wanted to be able to airdrop but the important thing, that it picks up signal from phone is actually pretty poor.",iPhone 7
"What do I say? You know how this phone is. Aluminium back, Taptic 3D touch, taptic home button differentiate this from 6s and 8. In my opinion, this is the best out of the 3 overall. I bought it for 39,000, wish it was cheaper, around 32,000 or something. But oh well, Apple is apple, so good it doesn't depreciate.",iPhone 7
Worst iphone7 everBattery doesn't even last for an hourWastage of moneyI'm regretting like anythingIf anyone is trying to purchase than I highly advise you not to buy iphone7You will regret,iPhone 7
Battery life is like you are performing sex...plug in get recharged and after some time of activity its down...so not preferable if you are using net all the time but yes it’s a masterpiece to showoff with a hole in the cover like your zip,iPhone 7
"I think I have got refurbished iPhone .I  email to seller but not responded. It’s finger not working properly, battery life is poor.amazon must remove this dealer who made customer a fool",iPhone 7
"I received a defective phone from amazon with faulty battery plus some problem with the device (it does not recognise the network .... no towers/ network bars). order phone for 28,000 on 27th Feb and raised request for reutun 8 days later....but amazon hasn't picked till now... really feel cheated. Had to buy another phone...shame on amazon!",iPhone 7
this is a 4-5 year back technology ... even then latest flagship android phones don't even come close to it ...excellent phone ....,iPhone 7
"Camera, finger print reader, screen quality are good, premium quality body . Major disappointment is battery it discharging in 1 day even after doing battery optimisation, dark background , turn off location etc. Always carry power bank or charger while going out. At this cost expected battery to be little bit better at least 2 days in full charge.",iPhone 7
the phone is switched off still the charging is 80% left and it doesn't getting on and Amazon doesn't giving me refund,iPhone 7
"It’s a Great Product, buy it without thinking twice.The 4.7’ inch isn’t too small, it is the perfect mobile screen size in the world! Just buy it!!!",iPhone 7
"This is my 1st iPhone , got it more for business use. It's super smooth, no hiccups so far, have been using this since around over 4 months. Camera is good enough, though not great at low lights. I got this for 35k on Amazon sale, For all those wanting to try out an iPhone and have never done befote, it's a good start with iPhone 7, won't disappoint you.",iPhone 7
This is a still a phone worth buying in 2018. Apple still has the best LCD display in the market. Sound quality is great. Phone is lag free because of the constant updates from Apple. This is one of the important reasons why you should buy an iPhone. When both the hardware and software is managed by the same company you can expect the phone to keep up with time unlike many other phone manufacturers who stop with out of the box software. The main con is battery life. To provide a sleek phone Apple cuts on battery size and hence don’t expect too much of on screen time if you’re a gaming enthusiast or watch a lot of videos on phone. The stand by time however is great because of the latest software update. Overall a good phone to experience the Apple space.,iPhone 7
Everything Is perfect it’s good to carry but network capacity is low while after the call come to 3G and take time to update in 4G after disconnecting the call.Another thing is take approx 2 hour to full charging it’s too much timeAnd last thing is battery life it’s give you hole day with single charge for general usage,iPhone 7
Had iphone6 and now I have upgraded to iphone7. Was able to see the difference immediately. iphone 7 is much faster than iphone6. Picture clarity is better. Both camera and selfie camera are excellent.  Battery life is almost as similar as iphone6. All this combined with Amazon superfast delivery as well. Good Value for money. We can go for it.,iPhone 7
"My 2nd iPhone 7 till date...love the compact size of the phone and the premium feel of the aluminium body.Battery life is the major draw back..moderate use will leave you with 20% by the end of the day(FB,chatting,instagram) ..not for heavy media users.Cameras ,both front n back are good but a bit  over saturated.Speaker volume decent.Performance top notch.4/5 for this.",iPhone 7
"Very bad experience with apple, I bought 1st time i phone but phone home botton is not working, when I replace phone, apple didn't replace order, they told me, go over service center, phone is not replace, I never suggest anyone of my friend for buying I phone, my 1st and last experience with apple we're  very very very bad",iPhone 7
"Don't buy, Battery drain quicklyAmazon delivering 2019 manufactured iphone and due to this mobile battery is getting drain quickly. Full charge battery will be finished in 2hours of uses.",iPhone 7
Amazon gave me defective product. I tried to switch on the iPhone 7 many times but I failed then I contacted customer care. After two days a service maintener came at my home he told me phone is dead. Please do not purchase any product from Amazon. The employee of this company is not working truely i think they are exchange the product in the midway. I am facing the problem to return iphone 7. Please do not purchage any product from amazon,iPhone 7
Worst experience ever...Phone dead with in 24 hours. Seller not provided any support.We have to go to apple service centre.They will repair and give it back. No replacement at all. Don’t buy it..Now onwards I will rethink before buying expensive items from Amazon.I was very happy with Amazon so far. This seller spoiled that...!!!,iPhone 7
My new I phone battery health showing 96% while my one year old I phone 6 showing 99%....and it is getting hot while using the mobile data very hot ...when checking the hardware the small screw between the charging pot seems to open ...the black paint in the screw and surrounding are cracked ...I strongly feel some battery replaced done with the distributor ...I given a complaint at Apple due to lock down no shop are open ...,iPhone 7
Hopeless product with no battery backup,iPhone 7
"Unable to See al callers name when restart the mobile, Battery overheating, Many more technical issues. Manufacturing is November 2019. Don't buy and waste your money. May be Amazone selling refurbished mobile.",iPhone 7
Pros:1. Handy2. Memory management3. Idle time battery managementConsScreen to body ratio could be better.... (But that is already there from iphone x but have to pay almost double),iPhone 7
An amazing product when compared to other phones other phones on the stand with similar specifications. The phone is as described by the seller and hence there is no need to repeat the specs. But being water resist is a good thing and always a desirable feature.,iPhone 7
"The iPhone 7 is a very good quality phone. I love the fact that its screen is 4.7 inches as this means it can fit into my pocket very comfortably. The display is also very good. The software updates about a week or so after the phone is registered with an Apple ID. The touch screen is smoother than my roomie's HTC phone which apparently cost 40,000 (I bought this for 30,000 just before the launch of iPhone 11, which pushed the price down to about 27,000). All in all, this is not a decision that I regret.",iPhone 7
I bought it on 9th june 2020 and kept in charge for 5 minutes and heating effect started..... (After Month updating my reviews ) This piece is early model of this brand. so it has very bad functional capabilities like less battery backup and easy to hang because of little RAM and if your shifting from  Android to iOS then i suggest you to not to switch because with this price you get the Best mobiles in Android or may be less price,iPhone 7
Phone is not getting switched on. Raised so many messages and did not receive any update still. I did not expect this from amazon,iPhone 7
